bookId-chunkNo,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21
pg32692-12,0.0129,0.1318,0.1701,0.0836,0.0234,0.0267,0.0381,0.0768,0.0291,0.0006,0.0101,0.0036,0.0053,0.1292,0.0577,0.0154,0.1429,0.2857,0.5714,0.6800,0.2039,1.2779
pg141JaneAusMansPark-6,0.0100,0.1187,0.2323,0.0741,0.0245,0.0221,0.0408,0.0699,0.0319,0.0025,0.0116,0.0023,0.0036,0.1271,0.1005,0.0123,0.1176,0.1765,0.7059,0.6108,-0.0182,-0.3451
pg141JaneAusMansPark-7,0.0097,0.1942,0.2850,0.0742,0.0293,0.0274,0.0424,0.0620,0.0324,0.0027,0.0133,0.0031,0.0034,0.1235,0.0786,0.0081,0.3684,0.0526,0.5789,0.6105,-0.0182,-0.3451
pg32692-10,0.0124,0.1376,0.1208,0.0814,0.0254,0.0263,0.0350,0.0807,0.0269,0.0004,0.0088,0.0048,0.0060,0.1297,0.0841,0.0155,0.0500,0.1500,0.8000,0.6442,0.2039,1.2779
pg141JaneAusMansPark-4,0.0147,0.1081,0.2050,0.0705,0.0183,0.0216,0.0375,0.0702,0.0358,0.0016,0.0090,0.0012,0.0047,0.1195,0.0424,0.0172,0.2222,0.1111,0.6667,0.6755,-0.0182,-0.3451
pg141JaneAusMansPark-5,0.0113,0.2072,0.1533,0.0701,0.0245,0.0251,0.0406,0.0733,0.0307,0.0009,0.0113,0.0013,0.0048,0.1274,0.1143,0.0135,0.0667,0.2000,0.7333,0.6339,-0.0182,-0.3451
pg47697-5,0.0281,0.2784,0.2459,0.0603,0.0336,0.0252,0.0368,0.0639,0.0564,0.0021,0.0062,0.0088,0.0061,0.1178,-0.0993,0.0149,0.3333,0.1389,0.5278,0.7007,-0.0618,-0.2700
pg47697-4,0.0194,0.2166,0.2640,0.0964,0.0407,0.0247,0.0336,0.0527,0.0507,0.0023,0.0083,0.0038,0.0105,0.1007,-0.1045,0.0138,0.2778,0.2222,0.5000,0.7703,-0.0618,-0.2700
pg47697-3,0.0169,0.2532,0.3263,0.0842,0.0390,0.0258,0.0331,0.0628,0.0493,0.0032,0.0060,0.0019,0.0087,0.1070,-0.0837,0.0148,0.2973,0.2162,0.4865,0.7339,-0.0618,-0.2700
pg30464-5,0.0141,0.2042,0.3779,0.0918,0.0360,0.0270,0.0348,0.0571,0.0362,0.0010,0.0036,0.0046,0.0029,0.1011,0.0406,0.0072,0.1667,0.2083,0.6250,0.6850,-0.1085,-0.1763
pg30464-6,0.0233,0.1221,0.1786,0.1002,0.0290,0.0239,0.0341,0.0586,0.0560,0.0010,0.0014,0.0130,0.0024,0.1080,-0.0770,0.0122,0.2500,0.0417,0.7083,0.7492,-0.1085,-0.1763
pg30464-3,0.0128,0.2301,0.4136,0.0910,0.0381,0.0297,0.0278,0.0510,0.0385,0.0009,0.0024,0.0031,0.0019,0.0852,0.0406,0.0068,0.1739,0.3043,0.5217,0.6498,-0.1085,-0.1763
pg30464-4,0.0149,0.1781,0.3660,0.0952,0.0384,0.0277,0.0328,0.0571,0.0405,0.0006,0.0010,0.0024,0.0017,0.0939,0.0249,0.0098,0.1818,0.0909,0.7273,0.6981,-0.1085,-0.1763
pg30464-1,0.0136,0.2304,0.3770,0.0866,0.0410,0.0311,0.0335,0.0617,0.0360,0.0005,0.0017,0.0030,0.0011,0.1004,0.0700,0.0083,0.2273,0.2727,0.5000,0.6379,-0.1085,-0.1763
pg30464-2,0.0126,0.2069,0.4983,0.0805,0.0379,0.0285,0.0330,0.0611,0.0331,0.0006,0.0023,0.0043,0.0030,0.1013,0.0922,0.0045,0.0833,0.0833,0.8333,0.6252,-0.1085,-0.1763
pg11005-2,0.0245,0.3637,0.2598,0.1093,0.0235,0.0238,0.0266,0.0508,0.0888,0.0004,0.0020,0.0036,0.0071,0.0834,-0.1781,0.0359,0.3276,0.4138,0.2586,0.8140,0.0243,-0.2794
pg11005-1,0.0257,0.4058,0.1595,0.0748,0.0186,0.0244,0.0267,0.0542,0.0804,0.0010,0.0021,0.0033,0.0053,0.0873,-0.1613,0.0328,0.2586,0.2586,0.4828,0.7859,0.0243,-0.2794
